Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src,Image Alt Text
pilot-aviation-watch,Pilot Aviation Watch,"<p>Aviation-inspired watch with large dial, luminous markers, and rotating bezel for navigation.</p>",AeroTime,Watch,"pilot,aviation,navigation,luminous",TRUE,Color,Black,WATCH011,179.99,219.99,22,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Pilot Aviation Watch
wooden-bamboo-watch,Wooden Bamboo Watch,"<p>Eco-friendly watch made from sustainable bamboo with natural wood grain pattern.</p>",EcoTime,Watch,"wooden,bamboo,eco-friendly,sustainable",TRUE,Color,Natural,WATCH012,69.99,89.99,28,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Wooden Bamboo Watch
diamond-luxury-watch,Diamond Luxury Watch,"<p>Ultra-luxurious watch with genuine diamonds and 18k gold case. Limited edition piece.</p>",DiamondTime,Watch,"diamond,luxury,gold,limited edition",TRUE,Color,Gold,WATCH013,1999.99,2499.99,3,https://images.unsplash.com/photo-1434056886845-dac89ffe9b56?w=500,Diamond Luxury Watch
kids-colorful-watch,Kids Colorful Watch,"<p>Fun and colorful watch designed for children with easy-to-read numbers and durable construction.</p>",KidsTime,Watch,"kids,colorful,children,durable",TRUE,Color,Multi,WATCH014,29.99,39.99,45,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Kids Colorful Watch
steel-bracelet-watch,Steel Bracelet Watch,"<p>Classic stainless steel watch with matching bracelet. Timeless design for any occasion.</p>",SteelTime,Watch,"steel,bracelet,classic,stainless",TRUE,Color,Silver,WATCH015,99.99,129.99,32,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Steel Bracelet Watch
carbon-fiber-watch,Carbon Fiber Watch,"<p>Lightweight carbon fiber watch with modern design and exceptional durability.</p>",CarbonTime,Watch,"carbon fiber,lightweight,modern,durable",TRUE,Color,Black,WATCH016,149.99,189.99,20,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Carbon Fiber Watch
moon-phase-watch,Moon Phase Watch,"<p>Sophisticated watch featuring moon phase complication and elegant design.</p>",LunarTime,Watch,"moon phase,sophisticated,elegant,complication",TRUE,Color,Blue,WATCH017,399.99,499.99,10,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Moon Phase Watch
skeleton-mechanical-watch,Skeleton Mechanical Watch,"<p>Fascinating skeleton watch revealing the intricate mechanical movement inside.</p>",MechTime,Watch,"skeleton,mechanical,transparent,movement",TRUE,Color,Silver,WATCH018,279.99,349.99,15,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Skeleton Mechanical Watch
titanium-ultra-light-watch,Titanium Ultra Light Watch,"<p>Ultra-lightweight titanium watch with exceptional strength and hypoallergenic properties.</p>",TitanTime,Watch,"titanium,lightweight,strong,hypoallergenic",TRUE,Color,Gray,WATCH019,199.99,249.99,25,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Titanium Ultra Light Watch
ceramic-white-watch,Ceramic White Watch,"<p>Scratch-resistant ceramic watch with pure white finish and modern minimalist design.</p>",CeramicTime,Watch,"ceramic,white,scratch resistant,minimalist",TRUE,Color,White,WATCH020,129.99,159.99,30,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Ceramic White Watch
racing-chronograph-watch,Racing Chronograph Watch,"<p>High-performance racing chronograph with tachymeter scale and sporty design.</p>",RaceTime,Watch,"racing,chronograph,tachymeter,sporty",TRUE,Color,Red,WATCH021,169.99,199.99,18,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Racing Chronograph Watch
field-military-watch,Field Military Watch,"<p>Rugged field watch designed for military use with luminous hands and durable construction.</p>",FieldTime,Watch,"field,military,rugged,luminous",TRUE,Color,Olive,WATCH022,109.99,139.99,22,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Field Military Watch
dress-formal-watch,Dress Formal Watch,"<p>Elegant dress watch perfect for formal occasions with slim profile and classic design.</p>",DressTime,Watch,"dress,formal,elegant,slim",TRUE,Color,Black,WATCH023,139.99,179.99,28,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Dress Formal Watch
gmt-world-timer-watch,GMT World Timer Watch,"<p>GMT watch with world time function and rotating bezel for tracking multiple time zones.</p>",WorldTime,Watch,"gmt,world timer,time zones,travel",TRUE,Color,Blue,WATCH024,229.99,279.99,16,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,GMT World Timer Watch
automatic-wind-watch,Automatic Wind Watch,"<p>Self-winding automatic watch with transparent case back showing the mechanical movement.</p>",AutoTime,Watch,"automatic,self-winding,mechanical,transparent",TRUE,Color,Silver,WATCH025,189.99,229.99,20,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Automatic Wind Watch
marble-stone-watch,Marble Stone Watch,"<p>Unique watch with natural marble stone dial and genuine leather strap.</p>",StoneTime,Watch,"marble,stone,natural,unique",TRUE,Color,White,WATCH026,159.99,199.99,12,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Marble Stone Watch
perpetual-calendar-watch,Perpetual Calendar Watch,"<p>Sophisticated perpetual calendar watch that automatically adjusts for leap years.</p>",CalendarTime,Watch,"perpetual,calendar,leap year,sophisticated",TRUE,Color,Gold,WATCH027,499.99,599.99,8,https://images.unsplash.com/photo-1434056886845-dac89ffe9b56?w=500,Perpetual Calendar Watch
solar-powered-watch,Solar Powered Watch,"<p>Eco-friendly solar-powered watch that charges from any light source.</p>",SolarTime,Watch,"solar,eco-friendly,rechargeable,light",TRUE,Color,Black,WATCH028,89.99,119.99,35,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Solar Powered Watch
tourbillon-luxury-watch,Tourbillon Luxury Watch,"<p>Ultra-precise tourbillon watch with exposed escapement and exceptional craftsmanship.</p>",TourbillonTime,Watch,"tourbillon,luxury,precise,craftsmanship",TRUE,Color,Platinum,WATCH029,2999.99,3999.99,2,https://images.unsplash.com/photo-1434056886845-dac89ffe9b56?w=500,Tourbillon Luxury Watch
dual-time-zone-watch,Dual Time Zone Watch,"<p>Convenient dual time zone watch perfect for frequent travelers and business professionals.</p>",DualTime,Watch,"dual time,travel,business,professional",TRUE,Color,Silver,WATCH030,179.99,219.99,24,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Dual Time Zone Watch
retro-digital-watch,Retro Digital Watch,"<p>Nostalgic retro digital watch with LED display and vintage 80s styling.</p>",RetroTime,Watch,"retro,digital,led,vintage",TRUE,Color,Black,WATCH031,49.99,69.99,30,https://images.unsplash.com/photo-1524805444758-089113d48a6d?w=500,Retro Digital Watch
rubber-sport-watch,Rubber Sport Watch,"<p>Flexible rubber sport watch with comfortable strap and water resistance.</p>",FlexTime,Watch,"rubber,sport,flexible,waterproof",TRUE,Color,Blue,WATCH032,39.99,54.99,40,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Rubber Sport Watch
pearl-dial-watch,Pearl Dial Watch,"<p>Elegant watch with mother-of-pearl dial and diamond hour markers.</p>",PearlTime,Watch,"pearl,diamond,elegant,luxury",TRUE,Color,White,WATCH033,349.99,449.99,15,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Pearl Dial Watch
alarm-clock-watch,Alarm Clock Watch,"<p>Practical watch with built-in alarm function and large easy-to-read display.</p>",AlarmTime,Watch,"alarm,clock,practical,large display",TRUE,Color,Black,WATCH034,69.99,89.99,25,https://images.unsplash.com/photo-1524805444758-089113d48a6d?w=500,Alarm Clock Watch
crystal-studded-watch,Crystal Studded Watch,"<p>Sparkling watch with crystal studs and glamorous design for special occasions.</p>",CrystalTime,Watch,"crystal,sparkling,glamorous,special",TRUE,Color,Silver,WATCH035,199.99,249.99,18,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Crystal Studded Watch
bluetooth-smart-watch,Bluetooth Smart Watch,"<p>Connected smartwatch with Bluetooth functionality and smartphone notifications.</p>",ConnectTime,Watch,"bluetooth,smart,connected,notifications",TRUE,Color,Black,WATCH036,149.99,189.99,35,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Bluetooth Smart Watch
leather-brown-watch,Leather Brown Watch,"<p>Classic brown leather watch with traditional styling and comfortable fit.</p>",LeatherTime,Watch,"leather,brown,classic,traditional",TRUE,Color,Brown,WATCH037,79.99,99.99,28,https://images.unsplash.com/photo-1523170335258-f5c6a6f1c0c1?w=500,Leather Brown Watch
heart-rate-monitor-watch,Heart Rate Monitor Watch,"<p>Fitness watch with built-in heart rate monitor and activity tracking features.</p>",FitnessTime,Watch,"heart rate,fitness,monitor,activity",TRUE,Color,Red,WATCH038,119.99,149.99,32,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Heart Rate Monitor Watch
golden-elegant-watch,Golden Elegant Watch,"<p>Sophisticated golden watch with elegant design and premium materials.</p>",GoldenTime,Watch,"golden,elegant,sophisticated,premium",TRUE,Color,Gold,WATCH039,229.99,279.99,20,https://images.unsplash.com/photo-1434056886845-dac89ffe9b56?w=500,Golden Elegant Watch
waterproof-diving-watch,Waterproof Diving Watch,"<p>Professional diving watch with 300m water resistance and helium escape valve.</p>",DiveTime,Watch,"waterproof,diving,300m,professional",TRUE,Color,Orange,WATCH040,189.99,229.99,12,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Waterproof Diving Watch
minimalist-black-watch,Minimalist Black Watch,"<p>Ultra-minimalist black watch with clean lines and simple design.</p>",MinimalTime,Watch,"minimalist,black,clean,simple",TRUE,Color,Black,WATCH041,59.99,79.99,38,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Minimalist Black Watch
chronometer-precision-watch,Chronometer Precision Watch,"<p>High-precision chronometer watch with certified accuracy and exceptional craftsmanship.</p>",PrecisionTime,Watch,"chronometer,precision,certified,accuracy",TRUE,Color,Silver,WATCH042,399.99,499.99,14,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Chronometer Precision Watch
led-display-watch,LED Display Watch,"<p>Modern LED display watch with bright illumination and digital time display.</p>",LEDTime,Watch,"led,display,bright,digital",TRUE,Color,Blue,WATCH043,34.99,49.99,42,https://images.unsplash.com/photo-1524805444758-089113d48a6d?w=500,LED Display Watch
sapphire-crystal-watch,Sapphire Crystal Watch,"<p>Premium watch with scratch-resistant sapphire crystal and automatic movement.</p>",SapphireTime,Watch,"sapphire,crystal,scratch resistant,automatic",TRUE,Color,Black,WATCH044,279.99,349.99,16,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Sapphire Crystal Watch
vintage-pocket-watch,Vintage Pocket Watch,"<p>Classic vintage pocket watch with chain and traditional mechanical movement.</p>",PocketTime,Watch,"vintage,pocket,chain,mechanical",TRUE,Color,Gold,WATCH045,159.99,199.99,8,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Vintage Pocket Watch
multi-function-watch,Multi Function Watch,"<p>Versatile multi-function watch with calendar, alarm, and stopwatch features.</p>",MultiTime,Watch,"multi function,calendar,alarm,stopwatch",TRUE,Color,Silver,WATCH046,89.99,119.99,26,https://images.unsplash.com/photo-1524805444758-089113d48a6d?w=500,Multi Function Watch
rose-gold-diamond-watch,Rose Gold Diamond Watch,"<p>Luxurious rose gold watch with genuine diamonds and mother-of-pearl dial.</p>",RoseDiamondTime,Watch,"rose gold,diamond,luxurious,mother of pearl",TRUE,Color,Rose Gold,WATCH047,899.99,1199.99,5,https://images.unsplash.com/photo-1434056886845-dac89ffe9b56?w=500,Rose Gold Diamond Watch
athletic-sports-watch,Athletic Sports Watch,"<p>High-performance athletic watch designed for serious athletes and sports enthusiasts.</p>",AthleticTime,Watch,"athletic,sports,performance,athletes",TRUE,Color,Black,WATCH048,129.99,159.99,30,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Athletic Sports Watch
art-deco-watch,Art Deco Watch,"<p>Stylish Art Deco inspired watch with geometric patterns and vintage elegance.</p>",ArtDecoTime,Watch,"art deco,geometric,vintage,elegant",TRUE,Color,Gold,WATCH049,199.99,249.99,18,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Art Deco Watch
limited-edition-watch,Limited Edition Watch,"<p>Exclusive limited edition watch with unique design and numbered case back.</p>",LimitedTime,Watch,"limited edition,exclusive,unique,numbered",TRUE,Color,Platinum,WATCH050,1299.99,1599.99,3,https://images.unsplash.com/photo-1434056886845-dac89ffe9b56?w=500,Limited Edition Watch
